t,x,density,u
1.2183,0.5,0.8,-6.991912
1.2183,0.5,0.7,-6.28399
1.2183,0.5,0.65,-5.86756
1.5096,0.25,0.8,-5.87326
1.5096,0.25,0.7,-5.2830446
1.5096,0.25,0.6,-4.57915
1.5096,0.25,0.5,-3.846010
1.5096,0.25,0.4,-3.145625
1.5096,0.25,0.3,-2.446133
1.5096,0.25,0.2,-1.718330
1.5096,0.25,0.1,-0.883410
1.5096,0.75,0.8,-7.528813
1.5096,0.75,0.7,-6.89008
1.5096,0.75,0.6,-6.0058145
1.5096,0.75,0.55,-5.52616
1.6438,0.5,0.8,-6.544010
1.6438,0.5,0.7,-5.95657
1.6438,0.5,0.6,-5.18836
1.6438,0.5,0.5,-4.35859
1.6438,0.5,0.4,-3.549019
1.6438,0.5,0.3,-2.768327
1.6438,0.5,0.2,-1.936931
1.6438,0.5,0.1,-1.004111
